"title"	"track_n"	"text"	"album"	"artist"
"930"	"Heart & Mind (Bonus Track)"	29	"To your heart, heart"	"London Calling"	"The Clash"
"931"	"Heart & Mind (Bonus Track)"	29	"And I got 'em"	"London Calling"	"The Clash"
"932"	"Heart & Mind (Bonus Track)"	29	"On my chain, on my chain"	"London Calling"	"The Clash"
"933"	"Heart & Mind (Bonus Track)"	29	"(x3)"	"London Calling"	"The Clash"
"934"	"Heart & Mind (Bonus Track)"	29	"(inaudible verse)"	"London Calling"	"The Clash"
"935"	"Heart & Mind (Bonus Track)"	29	"I got the keys, keys"	"London Calling"	"The Clash"
"936"	"Heart & Mind (Bonus Track)"	29	"To your heart, heart"	"London Calling"	"The Clash"
"937"	"Heart & Mind (Bonus Track)"	29	"And I got 'em"	"London Calling"	"The Clash"
"938"	"Heart & Mind (Bonus Track)"	29	"On my chain, on my chain"	"London Calling"	"The Clash"
"939"	"Heart & Mind (Bonus Track)"	29	"(x2)"	"London Calling"	"The Clash"
"940"	"The Magnificent Seven"	1	"The Magnificent Seven!"	"Sandinista!"	"The Clash"
"941"	"The Magnificent Seven"	1	"Ring! Ring! It's 7:00 A.M.!"	"Sandinista!"	"The Clash"
"942"	"The Magnificent Seven"	1	"Move y'self to go again"	"Sandinista!"	"The Clash"
"943"	"The Magnificent Seven"	1	"Cold water in the face"	"Sandinista!"	"The Clash"
"944"	"The Magnificent Seven"	1	"Brings you back to this awful place"	"Sandinista!"	"The Clash"
"945"	"The Magnificent Seven"	1	"Knuckle merchants and you bankers, too"	"Sandinista!"	"The Clash"
"946"	"The Magnificent Seven"	1	"Must get up an' learn those rules"	"Sandinista!"	"The Clash"
"947"	"The Magnificent Seven"	1	"Weather man and the crazy chief"	"Sandinista!"	"The Clash"
"948"	"The Magnificent Seven"	1	"One says \"Sun\" and one says \"Sleet\""	"Sandinista!"	"The Clash"
"949"	"The Magnificent Seven"	1	"A.M., the F.M. the P.M. too"	"Sandinista!"	"The Clash"
"950"	"The Magnificent Seven"	1	"Churnin' out that boogaloo"	"Sandinista!"	"The Clash"
"951"	"The Magnificent Seven"	1	"Gets you up and a'gets you out"	"Sandinista!"	"The Clash"
"952"	"The Magnificent Seven"	1	"But how long can you keep it up?"	"Sandinista!"	"The Clash"
"953"	"The Magnificent Seven"	1	"Gimme Honda, Gimme Sony"	"Sandinista!"	"The Clash"
"954"	"The Magnificent Seven"	1	"So cheap and real phony"	"Sandinista!"	"The Clash"
"955"	"The Magnificent Seven"	1	"Hong Kong dollar, Indian cents"	"Sandinista!"	"The Clash"
"956"	"The Magnificent Seven"	1	"English pounds and Eskimo pence"	"Sandinista!"	"The Clash"
"957"	"The Magnificent Seven"	1	"You lot! What?"	"Sandinista!"	"The Clash"
"958"	"The Magnificent Seven"	1	"Don't stop Give it all you got"	"Sandinista!"	"The Clash"
"959"	"The Magnificent Seven"	1	"You lot! What?"	"Sandinista!"	"The Clash"
"960"	"The Magnificent Seven"	1	"Don't stop"	"Sandinista!"	"The Clash"
"961"	"The Magnificent Seven"	1	"Yeah!"	"Sandinista!"	"The Clash"
"962"	"The Magnificent Seven"	1	"Workin' for a rise, better my station"	"Sandinista!"	"The Clash"
"963"	"The Magnificent Seven"	1	"Take my baby to sophistication"	"Sandinista!"	"The Clash"
"964"	"The Magnificent Seven"	1	"She's seen the ads, she thinks it's nice"	"Sandinista!"	"The Clash"
"965"	"The Magnificent Seven"	1	"Better work hard, I seen the price"	"Sandinista!"	"The Clash"
"966"	"The Magnificent Seven"	1	"Never mind that it's time for the bus"	"Sandinista!"	"The Clash"
"967"	"The Magnificent Seven"	1	"We got to work, an' you're one of us"	"Sandinista!"	"The Clash"
"968"	"The Magnificent Seven"	1	"Clocks go slow in a place of work"	"Sandinista!"	"The Clash"
"969"	"The Magnificent Seven"	1	"Minutes drag and the hours jerk"	"Sandinista!"	"The Clash"
"970"	"The Magnificent Seven"	1	"\"When can I tell 'em wot I do?"	"Sandinista!"	"The Clash"
"971"	"The Magnificent Seven"	1	"In a second, maaan, a'right Chuck!\""	"Sandinista!"	"The Clash"
"972"	"The Magnificent Seven"	1	"Wave bub-bub-bub-bye to the boss"	"Sandinista!"	"The Clash"
"973"	"The Magnificent Seven"	1	"It's our profit, it's his loss"	"Sandinista!"	"The Clash"
"974"	"The Magnificent Seven"	1	"But anyway the lunch bell ring"	"Sandinista!"	"The Clash"
"975"	"The Magnificent Seven"	1	"Take one hour and do your thanng!"	"Sandinista!"	"The Clash"
"976"	"The Magnificent Seven"	1	"Cheeesboiger!"	"Sandinista!"	"The Clash"
"977"	"The Magnificent Seven"	1	"What do we have for entertainment?"	"Sandinista!"	"The Clash"
"978"	"The Magnificent Seven"	1	"Cops kickin' Gypsies on the pavement"	"Sandinista!"	"The Clash"
"979"	"The Magnificent Seven"	1	"Now the news, a'snap to attention"	"Sandinista!"	"The Clash"
"980"	"The Magnificent Seven"	1	"The lunar landing of the dentist convention"	"Sandinista!"	"The Clash"
"981"	"The Magnificent Seven"	1	"Italian mobster shoots a lobster"	"Sandinista!"	"The Clash"
"982"	"The Magnificent Seven"	1	"Seafood restaurant gets outta hand"	"Sandinista!"	"The Clash"
"983"	"The Magnificent Seven"	1	"A car in the fridge"	"Sandinista!"	"The Clash"
"984"	"The Magnificent Seven"	1	"A fridge in the car?"	"Sandinista!"	"The Clash"
"985"	"The Magnificent Seven"	1	"Like cowboys do, in TV land"	"Sandinista!"	"The Clash"
"986"	"The Magnificent Seven"	1	"You lot! What?"	"Sandinista!"	"The Clash"
"987"	"The Magnificent Seven"	1	"Don't stop, give it all you got"	"Sandinista!"	"The Clash"
"988"	"The Magnificent Seven"	1	"You lot! What?"	"Sandinista!"	"The Clash"
"989"	"The Magnificent Seven"	1	"Don't stop"	"Sandinista!"	"The Clash"
"990"	"The Magnificent Seven"	1	"(x2)"	"Sandinista!"	"The Clash"
"991"	"The Magnificent Seven"	1	"To get back to work an' sweat some more"	"Sandinista!"	"The Clash"
"992"	"The Magnificent Seven"	1	"The sun will sink an' we'll get out the door"	"Sandinista!"	"The Clash"
"993"	"The Magnificent Seven"	1	"It's no good for man to work in cages"	"Sandinista!"	"The Clash"
"994"	"The Magnificent Seven"	1	"Hits the town, he drinks his wages"	"Sandinista!"	"The Clash"
"995"	"The Magnificent Seven"	1	"You're frettin', you're sweatin'"	"Sandinista!"	"The Clash"
"996"	"The Magnificent Seven"	1	"But did you notice you ain't gettin'?"	"Sandinista!"	"The Clash"
"997"	"The Magnificent Seven"	1	"You're frettin', you're sweatin'"	"Sandinista!"	"The Clash"
"998"	"The Magnificent Seven"	1	"But did you notice not gettin' anywhere?"	"Sandinista!"	"The Clash"
"999"	"The Magnificent Seven"	1	"Don't you ever stop a'long enough to start?"	"Sandinista!"	"The Clash"
"1000"	"The Magnificent Seven"	1	"To take your car outta that gear"	"Sandinista!"	"The Clash"
"1001"	"The Magnificent Seven"	1	"Don't you ever stop long enough to start?"	"Sandinista!"	"The Clash"
"1002"	"The Magnificent Seven"	1	"Get your car outta that gear"	"Sandinista!"	"The Clash"
"1003"	"The Magnificent Seven"	1	"Karl Marx and Fredrich Engels"	"Sandinista!"	"The Clash"
"1004"	"The Magnificent Seven"	1	"Came to the checkout at the 7-11"	"Sandinista!"	"The Clash"
"1005"	"The Magnificent Seven"	1	"Marx was skint, but he had sense"	"Sandinista!"	"The Clash"
"1006"	"The Magnificent Seven"	1	"Engels lent him the necessary pence"	"Sandinista!"	"The Clash"
"1007"	"The Magnificent Seven"	1	"What have we got? Yeah"	"Sandinista!"	"The Clash"
"1008"	"The Magnificent Seven"	1	"A'what have we got? Yeah-o"	"Sandinista!"	"The Clash"
"1009"	"The Magnificent Seven"	1	"What have we got? Magnificence (I say)"	"Sandinista!"	"The Clash"
"1010"	"The Magnificent Seven"	1	"What have we got?"	"Sandinista!"	"The Clash"
"1011"	"The Magnificent Seven"	1	"Luther King and Mahatma Gandhi"	"Sandinista!"	"The Clash"
"1012"	"The Magnificent Seven"	1	"Went to the park to check on the game"	"Sandinista!"	"The Clash"
"1013"	"The Magnificent Seven"	1	"But they was murdered by the other team"	"Sandinista!"	"The Clash"
"1014"	"The Magnificent Seven"	1	"Who went on to win 15 mil"	"Sandinista!"	"The Clash"
"1015"	"The Magnificent Seven"	1	"You can't be true, you can't be false"	"Sandinista!"	"The Clash"
"1016"	"The Magnificent Seven"	1	"You'll be given the same reward"	"Sandinista!"	"The Clash"
"1017"	"The Magnificent Seven"	1	"Socrates and Milhous Nixon"	"Sandinista!"	"The Clash"
"1018"	"The Magnificent Seven"	1	"Both went the same way, through the kitchen"	"Sandinista!"	"The Clash"
"1019"	"The Magnificent Seven"	1	"Plato the Greek or Rin Tin Tin"	"Sandinista!"	"The Clash"
"1020"	"The Magnificent Seven"	1	"Who's more famous to the billion millions?"	"Sandinista!"	"The Clash"
"1021"	"The Magnificent Seven"	1	"News Flash: "	"Sandinista!"	"The Clash"
"1022"	"The Magnificent Seven"	1	"Vacuum Cleaner Sucks Up Budgie"	"Sandinista!"	"The Clash"
"1023"	"The Magnificent Seven"	1	"Bye bye"	"Sandinista!"	"The Clash"
"1024"	"The Magnificent Seven"	1	"The Magnificent Seven!"	"Sandinista!"	"The Clash"
"1025"	"The Magnificent Seven"	1	"Magnificent!"	"Sandinista!"	"The Clash"
"1026"	"The Magnificent Seven"	1	"Magnificent Seven!"	"Sandinista!"	"The Clash"
"1027"	"The Magnificent Seven"	1	"Joe Strummer speaking:"	"Sandinista!"	"The Clash"
"1028"	"The Magnificent Seven"	1	"This is fuckin' long, innit?"	"Sandinista!"	"The Clash"
"1029"	"Hitsville U.K. (Ft. Ellen Foley)"	2	"They cried the tears, they shed the fears"	"Sandinista!"	"The Clash"
"1030"	"Hitsville U.K. (Ft. Ellen Foley)"	2	"Up and down the land"	"Sandinista!"	"The Clash"
"1031"	"Hitsville U.K. (Ft. Ellen Foley)"	2	"They stole guitars or used guitars"	"Sandinista!"	"The Clash"
"1032"	"Hitsville U.K. (Ft. Ellen Foley)"	2	"So the tape would understand"	"Sandinista!"	"The Clash"
"1033"	"Hitsville U.K. (Ft. Ellen Foley)"	2	"Without even the slightest hope of a thousand sales"	"Sandinista!"	"The Clash"
"1034"	"Hitsville U.K. (Ft. Ellen Foley)"	2	"Just as if, as if there was, Hitsville in UK"	"Sandinista!"	"The Clash"
"1035"	"Hitsville U.K. (Ft. Ellen Foley)"	2	"I know the boy was all alone, 'til the Hitsville hit UK"	"Sandinista!"	"The Clash"
"1036"	"Hitsville U.K. (Ft. Ellen Foley)"	2	"(Remember)"	"Sandinista!"	"The Clash"
"1037"	"Hitsville U.K. (Ft. Ellen Foley)"	2	"They say true talent will always emerge in time"	"Sandinista!"	"The Clash"
"1038"	"Hitsville U.K. (Ft. Ellen Foley)"	2	"When lightning hits Small Wonder"	"Sandinista!"	"The Clash"
"1039"	"Hitsville U.K. (Ft. Ellen Foley)"	2	"Its Fast Rough Factory time"	"Sandinista!"	"The Clash"
"1040"	"Hitsville U.K. (Ft. Ellen Foley)"	2	"No expense accounts, or lunch discounts"	"Sandinista!"	"The Clash"
"1041"	"Hitsville U.K. (Ft. Ellen Foley)"	2	"Or hyping up the charts"	"Sandinista!"	"The Clash"
"1042"	"Hitsville U.K. (Ft. Ellen Foley)"	2	"The band went in, and knocked 'em dead, in 2 minutes 59"	"Sandinista!"	"The Clash"
"1043"	"Hitsville U.K. (Ft. Ellen Foley)"	2	"I know the boy was all alone, 'til the Hitsville hit UK"	"Sandinista!"	"The Clash"
"1044"	"Hitsville U.K. (Ft. Ellen Foley)"	2	"So   hit it"	"Sandinista!"	"The Clash"
"1045"	"Hitsville U.K. (Ft. Ellen Foley)"	2	"No slimy deals, with smarmy eels in Hitsville UK"	"Sandinista!"	"The Clash"
"1046"	"Hitsville U.K. (Ft. Ellen Foley)"	2	"Lets shake'n say, we'll operate in Hitsville UK"	"Sandinista!"	"The Clash"
"1047"	"Hitsville U.K. (Ft. Ellen Foley)"	2	"I know the girl felt all alone, 'til the Hitsville hit UK"	"Sandinista!"	"The Clash"
"1048"	"Hitsville U.K. (Ft. Ellen Foley)"	2	"The mutants, creeps, and musclemen"	"Sandinista!"	"The Clash"
"1049"	"Hitsville U.K. (Ft. Ellen Foley)"	2	"Are shakin' like a leaf"	"Sandinista!"	"The Clash"
"1050"	"Hitsville U.K. (Ft. Ellen Foley)"	2	"It blows a hole in the radio"	"Sandinista!"	"The Clash"
"1051"	"Hitsville U.K. (Ft. Ellen Foley)"	2	"When it hasn't sounded good all week"	"Sandinista!"	"The Clash"
"1052"	"Hitsville U.K. (Ft. Ellen Foley)"	2	"A mike 'n boom, in your livin' room in Hitsville UK"	"Sandinista!"	"The Clash"
"1053"	"Hitsville U.K. (Ft. Ellen Foley)"	2	"No consumer trials, nor "	"Sandinista!"	"The Clash"
"1054"	"Hitsville U.K. (Ft. Ellen Foley)"	2	"A.O.R.,"	"Sandinista!"	"The Clash"
"1055"	"Hitsville U.K. (Ft. Ellen Foley)"	2	" in Hitsville UK"	"Sandinista!"	"The Clash"
"1056"	"Hitsville U.K. (Ft. Ellen Foley)"	2	"I know the boy felt all alone 'til the Hitsville hit UK"	"Sandinista!"	"The Clash"
"1057"	"Hitsville U.K. (Ft. Ellen Foley)"	2	"Now the boys and girls are not alone"	"Sandinista!"	"The Clash"
"1058"	"Hitsville U.K. (Ft. Ellen Foley)"	2	"Now that Hitsville hit UK"	"Sandinista!"	"The Clash"
"1059"	"Hitsville U.K. (Ft. Ellen Foley)"	2	"I know the boys and girls are not alone"	"Sandinista!"	"The Clash"
"1060"	"Hitsville U.K. (Ft. Ellen Foley)"	2	"Now that Hitsville hit UK"	"Sandinista!"	"The Clash"
"1061"	"Hitsville U.K. (Ft. Ellen Foley)"	2	"I know the boys and girls are not alone"	"Sandinista!"	"The Clash"
"1062"	"Hitsville U.K. (Ft. Ellen Foley)"	2	"Now that Hitsville hit UK"	"Sandinista!"	"The Clash"
"1063"	"Hitsville U.K. (Ft. Ellen Foley)"	2	"I know the boys and girls are not alone"	"Sandinista!"	"The Clash"
"1064"	"Hitsville U.K. (Ft. Ellen Foley)"	2	"Now that Hitsville hit UK"	"Sandinista!"	"The Clash"
"1065"	"Junco Partner"	3	"Down the road came a Junco Partner"	"Sandinista!"	"The Clash"
"1066"	"Junco Partner"	3	"For he was loaded as can be"	"Sandinista!"	"The Clash"
"1067"	"Junco Partner"	3	"He was knocked out, knocked out loaded"	"Sandinista!"	"The Clash"
"1068"	"Junco Partner"	3	"He was a'wobblin' all over the street"	"Sandinista!"	"The Clash"
"1069"	"Junco Partner"	3	"Singin' \"6 months ain't no sentence"	"Sandinista!"	"The Clash"
"1070"	"Junco Partner"	3	"And one year ain't no time"	"Sandinista!"	"The Clash"
"1071"	"Junco Partner"	3	"I was born in Angola"	"Sandinista!"	"The Clash"
"1072"	"Junco Partner"	3	"Servin' 14 to 99\""	"Sandinista!"	"The Clash"
"1073"	"Junco Partner"	3	"Well I wish I had me $1 million dollars"	"Sandinista!"	"The Clash"
"1074"	"Junco Partner"	3	"Oh, one million to call my own (call my own)"	"Sandinista!"	"The Clash"
"1075"	"Junco Partner"	3	"I would raise meat and say, \"Grow for me baby\""	"Sandinista!"	"The Clash"
"1076"	"Junco Partner"	3	"Raise me a tobacco farm"	"Sandinista!"	"The Clash"
"1077"	"Junco Partner"	3	"Well a'when I had me a great deal of money"	"Sandinista!"	"The Clash"
"1078"	"Junco Partner"	3	"Yeah and a'mighty good things all over town"	"Sandinista!"	"The Clash"
"1079"	"Junco Partner"	3	"Now I ain't got no more money"	"Sandinista!"	"The Clash"
"1080"	"Junco Partner"	3	"All of my good friends just puttin' me down"	"Sandinista!"	"The Clash"
"1081"	"Junco Partner"	3	"So now I gotta pawn my rifle and pistol"	"Sandinista!"	"The Clash"
"1082"	"Junco Partner"	3	"Yeah, I gonna pawn my watch and chain"	"Sandinista!"	"The Clash"
"1083"	"Junco Partner"	3	"I would have pawned my sweet Gabriella"	"Sandinista!"	"The Clash"
"1084"	"Junco Partner"	3	"But the smart girl she wouldn't sign her name"	"Sandinista!"	"The Clash"
"1085"	"Junco Partner"	3	"(Repeat 1st verse)"	"Sandinista!"	"The Clash"
"1086"	"Junco Partner"	3	"I can't walk!"	"Sandinista!"	"The Clash"
"1087"	"Junco Partner"	3	"Down the road a'came a Junco Partner"	"Sandinista!"	"The Clash"
"1088"	"Junco Partner"	3	"\"Hey, mister\" he called out to me"	"Sandinista!"	"The Clash"
"1089"	"Junco Partner"	3	"And it was three things he shouted"	"Sandinista!"	"The Clash"
"1090"	"Junco Partner"	3	"Singin', singin' (?)"	"Sandinista!"	"The Clash"
"1091"	"Junco Partner"	3	"Oh!"	"Sandinista!"	"The Clash"
"1092"	"Junco Partner"	3	"Junco Partner"	"Sandinista!"	"The Clash"
"1093"	"Junco Partner"	3	"Well, I'm down"	"Sandinista!"	"The Clash"
"1094"	"Junco Partner"	3	"(?) busted"	"Sandinista!"	"The Clash"
"1095"	"Junco Partner"	3	"Just a'give me whiskey when I'm thirsty"	"Sandinista!"	"The Clash"
"1096"	"Junco Partner"	3	"Give me headstone when I die"	"Sandinista!"	"The Clash"
"1097"	"Ivan Meets G.I. Joe"	4	"So you're on the floor, at 54"	"Sandinista!"	"The Clash"
"1098"	"Ivan Meets G.I. Joe"	4	"Think you can last at Le Palace?"	"Sandinista!"	"The Clash"
"1099"	"Ivan Meets G.I. Joe"	4	"Does your body go to the to and fro?"	"Sandinista!"	"The Clash"
"1100"	"Ivan Meets G.I. Joe"	4	"Tonight's the night or didn't you know"	"Sandinista!"	"The Clash"
"1101"	"Ivan Meets G.I. Joe"	4	"That Ivan meets G.I. Joe (Ivan meets G.I. Joe)"	"Sandinista!"	"The Clash"
"1102"	"Ivan Meets G.I. Joe"	4	"Ivan meets G.I. Joe (Ivan meets G.I. Joe)"	"Sandinista!"	"The Clash"
"1103"	"Ivan Meets G.I. Joe"	4	"Ivan meets G.I. Joe (Ivan meets G.I. Joe)"	"Sandinista!"	"The Clash"
"1104"	"Ivan Meets G.I. Joe"	4	"Ivan meets G.I. Joe"	"Sandinista!"	"The Clash"
"1105"	"Ivan Meets G.I. Joe"	4	"He tried his tricks that Ruskie bear"	"Sandinista!"	"The Clash"
"1106"	"Ivan Meets G.I. Joe"	4	"The United Nations said \"It's all fair\""	"Sandinista!"	"The Clash"
"1107"	"Ivan Meets G.I. Joe"	4	"He did the radiation, he did the chemical plague"	"Sandinista!"	"The Clash"
"1108"	"Ivan Meets G.I. Joe"	4	"He could not win with a Cossack spin"	"Sandinista!"	"The Clash"
"1109"	"Ivan Meets G.I. Joe"	4	"The Vostok Bomb, the Stalin strike"	"Sandinista!"	"The Clash"
"1110"	"Ivan Meets G.I. Joe"	4	"He tried every move he tried to hitchhike"	"Sandinista!"	"The Clash"
"1111"	"Ivan Meets G.I. Joe"	4	"He drilled a hole like a Russian star"	"Sandinista!"	"The Clash"
"1112"	"Ivan Meets G.I. Joe"	4	"He made every move in his repertoire"	"Sandinista!"	"The Clash"
"1113"	"Ivan Meets G.I. Joe"	4	"(Chorus x2)"	"Sandinista!"	"The Clash"
"1114"	"Ivan Meets G.I. Joe"	4	"It's G.I. Joe's turn to blow"	"Sandinista!"	"The Clash"
"1115"	"Ivan Meets G.I. Joe"	4	"He turned it on cool and slow"	"Sandinista!"	"The Clash"
"1116"	"Ivan Meets G.I. Joe"	4	"He tried a pay phone call to the Pentagon"	"Sandinista!"	"The Clash"
"1117"	"Ivan Meets G.I. Joe"	4	"A radar scan, a leviathan"	"Sandinista!"	"The Clash"
"1118"	"Ivan Meets G.I. Joe"	4	"He wiped the Earth clean as a plate"	"Sandinista!"	"The Clash"
"1119"	"Ivan Meets G.I. Joe"	4	"What does it take to make a Ruskie break?"	"Sandinista!"	"The Clash"
"1120"	"Ivan Meets G.I. Joe"	4	"But the crowd are bored and off they go"	"Sandinista!"	"The Clash"
"1121"	"Ivan Meets G.I. Joe"	4	"Over the road to watch China blow!"	"Sandinista!"	"The Clash"
"1122"	"Ivan Meets G.I. Joe"	4	"(Chorus)"	"Sandinista!"	"The Clash"
"1123"	"The Leader (Ft. The Clash)"	5	"Atom secrets, secret leaflet"	"Sandinista!"	"The Clash"
"1124"	"The Leader (Ft. The Clash)"	5	"Have the boys found the leak yet?"	"Sandinista!"	"The Clash"
"1125"	"The Leader (Ft. The Clash)"	5	"Molehill sets the wheel in motion"	"Sandinista!"	"The Clash"
"1126"	"The Leader (Ft. The Clash)"	5	"His downfall picks up locomotion"	"Sandinista!"	"The Clash"
"1127"	"The Leader (Ft. The Clash)"	5	"You gotta give the people somethin' good to read on a Sunday"	"Sandinista!"	"The Clash"
"1128"	"The Leader (Ft. The Clash)"	5	"Now the leader's wife takes a government car"	"Sandinista!"	"The Clash"
"1129"	"The Leader (Ft. The Clash)"	5	"In the dark to meet her minister"	"Sandinista!"	"The Clash"
"1130"	"The Leader (Ft. The Clash)"	5	"But the leader never leaves his door ajar"	"Sandinista!"	"The Clash"
"1131"	"The Leader (Ft. The Clash)"	5	"Swings a whip from the Boer War"	"Sandinista!"	"The Clash"
"1132"	"The Leader (Ft. The Clash)"	5	"(Chorus)"	"Sandinista!"	"The Clash"
"1133"	"The Leader (Ft. The Clash)"	5	"He wore a leather mask for his dinner guests"	"Sandinista!"	"The Clash"
"1134"	"The Leader (Ft. The Clash)"	5	"Totally nude and with deep respect"	"Sandinista!"	"The Clash"
"1135"	"The Leader (Ft. The Clash)"	5	"Proposed a toast to the votes he gets"	"Sandinista!"	"The Clash"
"1136"	"The Leader (Ft. The Clash)"	5	"The feeling of power and the thought of sex"	"Sandinista!"	"The Clash"
"1137"	"The Leader (Ft. The Clash)"	5	"(Chorus)"	"Sandinista!"	"The Clash"
"1138"	"The Leader (Ft. The Clash)"	5	"Now the girl let the fat man touch her"	"Sandinista!"	"The Clash"
"1139"	"The Leader (Ft. The Clash)"	5	"Vodka fume and the feel of a vulture"	"Sandinista!"	"The Clash"
"1140"	"The Leader (Ft. The Clash)"	5	"Driver waited in the embassy car"	"Sandinista!"	"The Clash"
"1141"	"The Leader (Ft. The Clash)"	5	"Fat man trap was set for capture"	"Sandinista!"	"The Clash"
"1142"	"The Leader (Ft. The Clash)"	5	"The girl let the thin man touch her"	"Sandinista!"	"The Clash"
"1143"	"The Leader (Ft. The Clash)"	5	"Mixing questions, drunken laughter"	"Sandinista!"	"The Clash"
"1144"	"The Leader (Ft. The Clash)"	5	"Ministry car waitin' there"	"Sandinista!"	"The Clash"
"1145"	"The Leader (Ft. The Clash)"	5	"Minister knows his own affair"	"Sandinista!"	"The Clash"
"1146"	"The Leader (Ft. The Clash)"	5	"(Chorus)"	"Sandinista!"	"The Clash"
"1147"	"Something About England"	6	"(Mick Jones)"	"Sandinista!"	"The Clash"
"1148"	"Something About England"	6	"They say the immigrants steal the hubcaps"	"Sandinista!"	"The Clash"
"1149"	"Something About England"	6	"Of respected gentlemen"	"Sandinista!"	"The Clash"
"1150"	"Something About England"	6	"They say it would be wine and roses"	"Sandinista!"	"The Clash"
"1151"	"Something About England"	6	"If England were for Englishmen again"	"Sandinista!"	"The Clash"
"1152"	"Something About England"	6	"I saw a dirty overcoat"	"Sandinista!"	"The Clash"
"1153"	"Something About England"	6	"At the foot of the pillar of the road"	"Sandinista!"	"The Clash"
"1154"	"Something About England"	6	"Propped inside was an old man"	"Sandinista!"	"The Clash"
"1155"	"Something About England"	6	"Who time could not erode"	"Sandinista!"	"The Clash"
"1156"	"Something About England"	6	"The night was snapped by sirens"	"Sandinista!"	"The Clash"
"1157"	"Something About England"	6	"Those blue lights circled past"	"Sandinista!"	"The Clash"
"1158"	"Something About England"	6	"The dance hall called for an ambulance"	"Sandinista!"	"The Clash"
"1159"	"Something About England"	6	"The bars all closed up fast"	"Sandinista!"	"The Clash"
"1160"	"Something About England"	6	"My silence gazing at the ceiling"	"Sandinista!"	"The Clash"
"1161"	"Something About England"	6	"While roaming the single room"	"Sandinista!"	"The Clash"
"1162"	"Something About England"	6	"I thought the old man could help me"	"Sandinista!"	"The Clash"
"1163"	"Something About England"	6	"If he could explain the gloom"	"Sandinista!"	"The Clash"
"1164"	"Something About England"	6	"\"You really think it's all new"	"Sandinista!"	"The Clash"
"1165"	"Something About England"	6	"You really think about it too\""	"Sandinista!"	"The Clash"
"1166"	"Something About England"	6	"The old man scoffed as he spoke to me"	"Sandinista!"	"The Clash"
"1167"	"Something About England"	6	"\"I'll tell you a thing or two\""	"Sandinista!"	"The Clash"
"1168"	"Something About England"	6	"(Joe Strummer)"	"Sandinista!"	"The Clash"
"1169"	"Something About England"	6	"I missed "	"Sandinista!"	"The Clash"
"1170"	"Something About England"	6	"the fourteen-eighteen war"	"Sandinista!"	"The Clash"
"1171"	"Something About England"	6	"But not the sorrow afterwards"	"Sandinista!"	"The Clash"
"1172"	"Something About England"	6	"With my father dead, my mother ran off"	"Sandinista!"	"The Clash"
"1173"	"Something About England"	6	"My brothers took the pay of hoods"	"Sandinista!"	"The Clash"
"1174"	"Something About England"	6	"The "	"Sandinista!"	"The Clash"
"1175"	"Something About England"	6	"twenties turned the north was dead"	"Sandinista!"	"The Clash"
"1176"	"Something About England"	6	"The hunger strike came marching south"	"Sandinista!"	"The Clash"
"1177"	"Something About England"	6	"The garden party not a word was said"	"Sandinista!"	"The Clash"
"1178"	"Something About England"	6	"The ladies lifted cake to their mouths"	"Sandinista!"	"The Clash"
"1179"	"Something About England"	6	"The "	"Sandinista!"	"The Clash"
"1180"	"Something About England"	6	"next war"	"Sandinista!"	"The Clash"
"1181"	"Something About England"	6	" began and my ship sailed"	"Sandinista!"	"The Clash"
"1182"	"Something About England"	6	"With battle orders writ in red"	"Sandinista!"	"The Clash"
"1183"	"Something About England"	6	"In five long years of bullets and shells"	"Sandinista!"	"The Clash"
"1184"	"Something About England"	6	"We left ten million dead"	"Sandinista!"	"The Clash"
"1185"	"Something About England"	6	"The few returned to old Piccadilly"	"Sandinista!"	"The Clash"
"1186"	"Something About England"	6	"We limped around Leicester Square"	"Sandinista!"	"The Clash"
"1187"	"Something About England"	6	"The world was busy rebuilding itself"	"Sandinista!"	"The Clash"
"1188"	"Something About England"	6	"The architects could not care"	"Sandinista!"	"The Clash"
"1189"	"Something About England"	6	"But how could we know when I was young"	"Sandinista!"	"The Clash"
"1190"	"Something About England"	6	"All the changes that were to come?"	"Sandinista!"	"The Clash"
"1191"	"Something About England"	6	"All the photos in the wallets on the battlefield"	"Sandinista!"	"The Clash"
"1192"	"Something About England"	6	"And now the terror of "	"Sandinista!"	"The Clash"
"1193"	"Something About England"	6	"the scientific sun"	"Sandinista!"	"The Clash"
"1194"	"Something About England"	6	"There was masters and servants and servants and dogs"	"Sandinista!"	"The Clash"
"1195"	"Something About England"	6	"They taught you how to touch your cap"	"Sandinista!"	"The Clash"
"1196"	"Something About England"	6	"Through strikes and famine and war and peace"	"Sandinista!"	"The Clash"
"1197"	"Something About England"	6	"England never closed this gap"	"Sandinista!"	"The Clash"
"1198"	"Something About England"	6	"So leave me now the moon is up"	"Sandinista!"	"The Clash"
"1199"	"Something About England"	6	"But remember the tales I tell"	"Sandinista!"	"The Clash"
"1200"	"Something About England"	6	"The memories that you have dredged up"	"Sandinista!"	"The Clash"
"1201"	"Something About England"	6	"Are on letters forwarded from Hell"	"Sandinista!"	"The Clash"
"1202"	"Something About England"	6	"It's a long way to Tipperary"	"Sandinista!"	"The Clash"
"1203"	"Something About England"	6	"It's a long way to go"	"Sandinista!"	"The Clash"
"1204"	"Something About England"	6	"Goodbye, Piccadilly"	"Sandinista!"	"The Clash"
"1205"	"Something About England"	6	"Farewell, Leicester Square"	"Sandinista!"	"The Clash"
