"title"	"track_n"	"text"	"album"	"artist"
"71"	"Jimmy Jazz"	3	"I said, \"Hmm, he was here but, um, he said he went out\""	"London Calling"	"The Clash"
"72"	"Jimmy Jazz"	3	"Who you're lookin' for? Jimmy Jazz, Jazz, Jazz, Jazz"	"London Calling"	"The Clash"
"73"	"Jimmy Jazz"	3	"Satta Massagana for Jimmy Dread"	"London Calling"	"The Clash"
"74"	"Jimmy Jazz"	3	"Cut off his ears and they'll chop off his head"	"London Calling"	"The Clash"
"75"	"Jimmy Jazz"	3	"Oh you're lookin' for Jimmy Jazz, Jazz, Jazz, Jazz"	"London Calling"	"The Clash"
"76"	"Jimmy Jazz"	3	"What a relief!"	"London Calling"	"The Clash"
"77"	"Jimmy Jazz"	3	"I feel like a soldier"	"London Calling"	"The Clash"
"78"	"Jimmy Jazz"	3	"Look like a thief!"	"London Calling"	"The Clash"
"79"	"Jimmy Jazz"	3	"Its for Jazz"	"London Calling"	"The Clash"
"80"	"Jimmy Jazz"	3	"Police a come a lookin' for the Jimmy Jazz"	"London Calling"	"The Clash"
"81"	"Jimmy Jazz"	3	"He came in and he went past"	"London Calling"	"The Clash"
"82"	"Jimmy Jazz"	3	"Oh, you're lookin' for Jimmy Jazz"	"London Calling"	"The Clash"
"83"	"Jimmy Jazz"	3	"In fact, don't you bother me, not anymore"	"London Calling"	"The Clash"
"84"	"Jimmy Jazz"	3	"I can't take this tale, oh, no more"	"London Calling"	"The Clash"
"85"	"Jimmy Jazz"	3	"It's all around, Jimmy Jazz, Jazz"	"London Calling"	"The Clash"
"86"	"Jimmy Jazz"	3	"J-a-zee zee J-a-zed zed"	"London Calling"	"The Clash"
"87"	"Jimmy Jazz"	3	"J-a-zee zee J-a-zed zed"	"London Calling"	"The Clash"
"88"	"Jimmy Jazz"	3	"J-a-zed zed Jimmy Jazz"	"London Calling"	"The Clash"
"89"	"Jimmy Jazz"	3	"And then it sucks, he said, \"Suck that!\""	"London Calling"	"The Clash"
"90"	"Jimmy Jazz"	3	"So go look all around, you can try your luck, brother"	"London Calling"	"The Clash"
"91"	"Jimmy Jazz"	3	"And see what ya' found"	"London Calling"	"The Clash"
"92"	"Jimmy Jazz"	3	"But I guarantee you that it ain't your day, your day"	"London Calling"	"The Clash"
"93"	"Jimmy Jazz"	3	"It ain't your day"	"London Calling"	"The Clash"
"94"	"Jimmy Jazz"	3	"Chop! Chop!"	"London Calling"	"The Clash"
"95"	"Hateful"	4	"Well, I got a friend who's a man (who's a man)"	"London Calling"	"The Clash"
"96"	"Hateful"	4	"What man?"	"London Calling"	"The Clash"
"97"	"Hateful"	4	"The man who keeps me from the lonely, the only"	"London Calling"	"The Clash"
"98"	"Hateful"	4	"He gives me what I need (what you need?)"	"London Calling"	"The Clash"
"99"	"Hateful"	4	"What you got?"	"London Calling"	"The Clash"
"100"	"Hateful"	4	"I need it all so badly"	"London Calling"	"The Clash"
"101"	"Hateful"	4	"Oh, anything I want he gives it to me"	"London Calling"	"The Clash"
"102"	"Hateful"	4	"Anything I want he gives it but not for free"	"London Calling"	"The Clash"
"103"	"Hateful"	4	"It's hateful"	"London Calling"	"The Clash"
"104"	"Hateful"	4	"And it's paid for"	"London Calling"	"The Clash"
"105"	"Hateful"	4	"And I'm so grateful to be nowhere"	"London Calling"	"The Clash"
"106"	"Hateful"	4	"This year I've lost some friends (some friends)"	"London Calling"	"The Clash"
"107"	"Hateful"	4	"What friends?"	"London Calling"	"The Clash"
"108"	"Hateful"	4	"I dunno, I didn't even notice"	"London Calling"	"The Clash"
"109"	"Hateful"	4	"You see, I gotta go out again (again)"	"London Calling"	"The Clash"
"110"	"Hateful"	4	"My friend"	"London Calling"	"The Clash"
"111"	"Hateful"	4	"I gotta see that main man"	"London Calling"	"The Clash"
"112"	"Hateful"	4	"Oh, anything I want he gives it to me"	"London Calling"	"The Clash"
"113"	"Hateful"	4	"Anything I want he gives it but not for free"	"London Calling"	"The Clash"
"114"	"Hateful"	4	"It's hateful"	"London Calling"	"The Clash"
"115"	"Hateful"	4	"And it's paid for"	"London Calling"	"The Clash"
"116"	"Hateful"	4	"And I'm so grateful to be nowhere"	"London Calling"	"The Clash"
"117"	"Hateful"	4	"I killed all my nerves (my nerves)"	"London Calling"	"The Clash"
"118"	"Hateful"	4	"What swerves?"	"London Calling"	"The Clash"
"119"	"Hateful"	4	"I can't drive so steady"	"London Calling"	"The Clash"
"120"	"Hateful"	4	"And already"	"London Calling"	"The Clash"
